iter	Passed	Remaining
850	1120	196
851	1120	194
852	1121	193
853	1122	191
854	1123	190
855	1123	189
856	1124	187
857	1125	186
858	1125	184
859	1127	183
860	1128	182
861	1130	180
862	1131	179
863	1132	178
864	1133	176
865	1134	175
866	1135	174
867	1136	172
868	1136	171
869	1137	170
870	1138	168
871	1139	167
872	1139	165
873	1140	164
874	1141	163
875	1142	161
876	1143	160
877	1144	158
878	1144	157
879	1145	156
880	1146	154
881	1147	153
882	1148	152
883	1149	150
884	1150	149
885	1150	148
886	1151	146
887	1152	145
888	1153	143
889	1153	142
890	1154	141
891	1155	139
892	1156	138
893	1156	137
894	1157	135
895	1158	134
896	1159	133
897	1159	131
898	1160	130
899	1161	129
900	1162	127
901	1163	126
902	1163	125
903	1164	123
904	1165	122
905	1165	120
906	1166	119
907	1167	118
908	1168	116
909	1168	115
910	1169	114
911	1170	112
912	1170	111
913	1171	110
914	1172	108
915	1173	107
916	1173	106
917	1174	104
918	1175	103
919	1176	102
920	1176	100
921	1177	99
922	1178	98
923	1179	97
924	1180	95
925	1180	94
926	1181	93
927	1182	91
928	1182	90
929	1183	89
930	1184	87
931	1185	86
932	1186	85
933	1186	83
934	1187	82
935	1187	81
936	1188	79
937	1189	78
938	1190	77
939	1190	76
940	1191	74
941	1192	73
942	1193	72
943	1194	70
944	1194	69
945	1195	68
946	1196	66
947	1197	65
948	1197	64
949	1198	63
950	1199	61
951	1200	60
952	1200	59
953	1201	57
954	1202	56
955	1203	55
956	1203	54
957	1204	52
958	1205	51
959	1206	50
960	1207	48
961	1208	47
962	1208	46
963	1209	45
964	1210	43
965	1210	42
966	1211	41
967	1212	40
968	1213	38
969	1213	37
970	1214	36
971	1215	35
972	1216	33
973	1216	32
974	1217	31
975	1218	29
976	1218	28
977	1219	27
978	1220	26
979	1221	24
980	1222	23
981	1223	22
982	1224	21
983	1225	19
984	1225	18
985	1226	17
986	1227	16
987	1228	14
988	1228	13
989	1229	12
990	1230	11
991	1231	9
992	1231	8
993	1232	7
994	1233	6
995	1233	4
996	1234	3
997	1235	2
998	1236	1
999	1236	0
